,station,year,month,day,hour,precip,wind_speed,wind_gust
0,CSAP4,2005,6,25,20,0.0,4.92,8.49
1,CSAP4,2005,6,25,21,0.0,4.47,6.7
2,CSAP4,2005,6,25,22,0.0,4.47,7.15
3,CSAP4,2005,6,25,23,0.0,2.23,5.37
4,CSAP4,2005,6,26,0,0.0,1.79,3.13
5,CSAP4,2005,6,26,1,0.0,2.68,3.58
6,CSAP4,2005,6,26,2,0.0,2.23,4.02
7,CSAP4,2005,6,26,3,0.0,3.13,4.02
8,CSAP4,2005,6,26,5,0.0,3.13,4.02
9,CSAP4,2005,6,26,6,0.0,2.68,4.02
10,CSAP4,2005,6,26,7,0.0,2.68,4.02
11,CSAP4,2005,6,26,8,0.0,2.68,3.58
12,CSAP4,2005,6,26,9,0.0,2.23,3.13
13,CSAP4,2005,6,26,10,0.0,2.68,4.47
14,CSAP4,2005,6,26,11,0.0,1.79,3.58
15,CSAP4,2005,6,26,12,0.0,1.79,4.47
16,CSAP4,2005,6,26,13,0.0,2.68,4.47
17,CSAP4,2005,6,26,14,0.0,3.58,5.37
18,CSAP4,2005,6,26,15,0.0,6.26,8.94
19,CSAP4,2005,6,26,16,0.0,5.37,9.39
20,CSAP4,2005,6,26,17,0.0,5.37,8.05
21,CSAP4,2005,6,26,18,0.0,7.15,10.28
22,CSAP4,2005,6,26,19,0.0,5.81,10.73
23,CSAP4,2005,6,26,20,0.0,5.37,8.49
24,CSAP4,2005,6,26,21,0.0,4.02,6.7
25,CSAP4,2005,6,26,22,0.0,3.58,5.37
26,CSAP4,2005,6,26,23,0.0,2.23,4.92
27,CSAP4,2005,6,27,0,0.0,2.68,4.02
28,CSAP4,2005,6,27,1,0.0,2.23,4.02
29,CSAP4,2005,6,27,2,0.0,2.68,4.02
30,CSAP4,2005,6,27,3,0.0,2.68,4.47
31,CSAP4,2005,6,27,4,0.0,2.23,4.47
32,CSAP4,2005,6,27,5,0.0,2.68,4.02
33,CSAP4,2005,6,27,6,0.0,2.23,4.02
34,CSAP4,2005,6,27,7,0.0,2.23,4.92
35,CSAP4,2005,6,27,8,0.0,3.58,4.47
36,CSAP4,2005,6,27,9,0.0,2.68,4.02
37,CSAP4,2005,6,27,10,0.0,2.68,4.02
38,CSAP4,2005,6,27,11,0.0,2.23,4.02
39,CSAP4,2005,6,27,12,0.0,1.79,3.58
40,CSAP4,2005,6,27,13,0.0,4.47,6.26
41,CSAP4,2005,6,27,14,0.0,3.58,9.39
42,CSAP4,2005,6,27,15,0.0,2.23,7.15
43,CSAP4,2005,6,27,16,0.0,4.92,7.15
44,CSAP4,2005,6,27,17,0.0,4.47,7.6
45,CSAP4,2005,6,27,18,0.0,5.81,8.49
46,CSAP4,2005,6,27,19,0.0,3.58,8.05
47,CSAP4,2005,6,27,20,0.0,3.58,5.81
48,CSAP4,2005,6,27,21,0.0,2.68,5.37
49,CSAP4,2005,6,27,22,0.0,3.13,5.81
50,CSAP4,2005,6,27,23,0.0,2.23,4.47
51,CSAP4,2005,6,28,0,0.0,2.23,3.58
52,CSAP4,2005,6,28,1,0.0,2.68,3.58
53,CSAP4,2005,6,28,2,0.0,1.79,3.13
54,CSAP4,2005,6,28,3,0.0,2.68,4.02
55,CSAP4,2005,6,28,4,0.0,2.23,4.02
56,CSAP4,2005,6,28,5,0.0,2.23,3.58
57,CSAP4,2005,6,28,6,0.0,2.68,3.58
58,CSAP4,2005,6,28,7,0.0,3.13,4.47
59,CSAP4,2005,6,28,8,0.0,2.68,3.58
60,CSAP4,2005,6,28,9,0.0,0.9,3.58
61,CSAP4,2005,6,28,10,0.0,2.68,4.02
62,CSAP4,2005,6,28,11,0.0,1.34,4.02
63,CSAP4,2005,6,28,12,0.0,1.79,2.68
64,CSAP4,2005,6,28,13,0.0,1.79,4.02
65,CSAP4,2005,6,28,14,0.0,3.58,6.26
66,CSAP4,2005,6,28,15,0.0,4.47,7.15
67,CSAP4,2005,6,28,16,0.0,5.81,8.05
68,CSAP4,2005,6,28,17,0.0,5.37,8.49
69,CSAP4,2005,6,28,18,0.0,6.26,9.39
70,CSAP4,2005,6,28,19,0.0,5.81,8.49
71,CSAP4,2005,6,28,20,0.0,4.92,7.6
72,CSAP4,2005,6,28,21,0.0,4.47,8.49
73,CSAP4,2005,6,28,22,0.0,4.47,7.15
74,CSAP4,2005,6,28,23,0.0,2.68,6.26
75,CSAP4,2005,6,29,0,0.0,2.23,3.58
76,CSAP4,2005,6,29,1,0.0,2.23,3.58
77,CSAP4,2005,6,29,2,0.0,1.79,3.13
78,CSAP4,2005,6,29,3,0.0,1.79,2.68
79,CSAP4,2005,6,29,4,0.0,1.79,3.13
80,CSAP4,2005,6,29,5,0.0,1.79,2.68
81,CSAP4,2005,6,29,6,0.0,1.79,3.13
82,CSAP4,2005,6,29,7,0.0,2.23,3.13
83,CSAP4,2005,6,29,8,0.0,2.23,3.58
84,CSAP4,2005,6,29,9,0.0,2.68,3.58
85,CSAP4,2005,6,29,10,0.0,3.13,4.02
86,CSAP4,2005,6,29,11,0.0,3.13,4.92
87,CSAP4,2005,6,29,12,0.0,2.68,4.02
88,CSAP4,2005,6,29,13,0.0,4.02,6.26
89,CSAP4,2005,6,29,14,0.0,4.47,7.6
90,CSAP4,2005,6,29,15,0.0,4.02,7.6
91,CSAP4,2005,6,29,16,0.0,6.26,9.84
92,CSAP4,2005,6,29,17,0.0,4.47,11.17
93,CSAP4,2005,6,29,18,1.016,6.7,11.17
94,CSAP4,2005,6,29,19,1.27,4.92,11.17
95,CSAP4,2005,6,29,20,0.7620001,3.13,7.15
96,CSAP4,2005,6,29,21,0.0,3.58,4.47
97,CSAP4,2005,6,29,22,0.0,3.13,6.26
98,CSAP4,2005,6,29,23,0.0,2.23,4.47
99,CSAP4,2005,6,30,0,0.0,2.23,4.47
100,CSAP4,2005,6,30,1,0.0,2.23,3.58
101,CSAP4,2005,6,30,2,0.0,1.79,4.02
102,CSAP4,2005,6,30,3,0.0,2.68,3.58
103,CSAP4,2005,6,30,4,0.0,2.23,3.13
104,CSAP4,2005,6,30,5,0.0,1.34,5.37
105,CSAP4,2005,6,30,6,0.0,2.23,3.13
106,CSAP4,2005,6,30,7,0.0,3.13,4.92
107,CSAP4,2005,6,30,8,0.0,1.79,4.92
108,CSAP4,2005,6,30,9,0.0,1.79,2.68
109,CSAP4,2005,6,30,10,0.0,3.58,4.92
110,CSAP4,2005,6,30,11,0.0,3.58,6.26
111,CSAP4,2005,6,30,12,0.0,1.79,6.26
112,CSAP4,2005,6,30,13,0.0,4.02,6.7
113,CSAP4,2005,6,30,14,0.5079999,4.02,7.6
114,CSAP4,2005,6,30,15,1.5239999,6.7,10.73
115,CSAP4,2005,6,30,16,0.0,2.23,8.49
116,CSAP4,2005,6,30,17,0.0,1.34,3.58
117,CSAP4,2005,6,30,18,0.0,2.23,3.58
118,CSAP4,2005,6,30,19,0.0,3.58,4.92
119,CSAP4,2005,6,30,20,0.0,3.58,5.37
120,CSAP4,2005,6,30,21,0.0,3.58,5.81
